year / année,site / site,station / station,latitude / latitude,longitude / longitude,number of samples / nombre d'échantillons,mean water temperature / température moyenne de l'eau,mean salinity / salinité moyenne,mean dissolved oxygen / oxygène dissous moyen,total species observed / total des espèces observées,total yoy measured / total des jeunes mesurés,total adults measured / total des adultes mesurés,SAV was reported / VAS a été rapporté
2016,Brudenell-Montague (PE),Island West,46.197877,-62.578434,3,16.833,26.633,7.837,19,711,773,True
2017,Brudenell-Montague (PE),Island West,46.197877,-62.578434,3,16.567,27.417,8.577,22,432,550,False
2018,Brudenell-Montague (PE),Island West,46.197877,-62.578434,1,13.2,28.07,9.12,5,0,224,False
2019,Brudenell-Montague (PE),Island West,46.197877,-62.578434,1,15.9,27.07,10.97,4,0,35,False
2006,Richibouctou (NB),Jardine Park,46.665292,-64.861867,5,19.0,21.86,8.816,38,259,592,True
2007,Richibouctou (NB),Jardine Park,46.665292,-64.861867,5,18.12,21.52,8.848,32,195,901,True
2008,Richibouctou (NB),Jardine Park,46.665292,-64.861867,5,18.22,18.62,8.958,38,525,2299,True
2009,Richibouctou (NB),Jardine Park,46.665292,-64.861867,5,17.52,20.84,9.17,40,465,1602,True
2010,Richibouctou (NB),Jardine Park,46.665292,-64.861867,5,18.66,20.875,9.657,36,531,1596,True
2011,Richibouctou (NB),Jardine Park,46.665292,-64.861867,3,22.8,15.4,8.277,22,161,550,True
2012,Richibouctou (NB),Jardine Park,46.665292,-64.861867,3,22.233,23.597,9.037,21,507,429,True
2013,Richibouctou (NB),Jardine Park,46.665292,-64.861867,3,19.967,21.05,8.827,24,202,475,True
2014,Richibouctou (NB),Jardine Park,46.665292,-64.861867,3,18.9,20.083,8.107,20,254,487,True
2015,Richibouctou (NB),Jardine Park,46.665292,-64.861867,3,20.233,23.34,9.533,16,11,127,True
2016,Richibouctou (NB),Jardine Park,46.665292,-64.861867,3,19.767,22.023,10.42,24,48,652,True
2017,Richibouctou (NB),Jardine Park,46.665292,-64.861867,3,20.733,23.463,8.673,27,358,802,True
2008,Souris (PE),Joe Carter 100%,46.35015,-62.2796,5,15.3,27.66,8.31,29,56,4137,True
2009,Souris (PE),Joe Carter 100%,46.35015,-62.2796,5,17.22,27.08,9.036,26,264,3420,True
2010,Souris (PE),Joe Carter 100%,46.35015,-62.2796,5,17.36,25.96,8.98,24,173,4119,True
2011,Souris (PE),Joe Carter 100%,46.35015,-62.2796,3,17.75,27.65,7.775,9,8,1419,True
2012,Souris (PE),Joe Carter 100%,46.35015,-62.2796,3,17.533,26.533,7.473,12,27,861,False
2013,Souris (PE),Joe Carter 100%,46.35015,-62.2796,3,19.433,27.76,10.233,17,70,1035,True
2014,Souris (PE),Joe Carter 100%,46.35015,-62.2796,3,18.7,25.867,9.683,14,10,1749,True
2015,Souris (PE),Joe Carter 100%,46.35015,-62.2796,3,18.467,27.287,10.717,15,3,451,True
2016,Souris (PE),Joe Carter 100%,46.35015,-62.2796,3,18.0,24.9,9.16,11,24,1134,True
2017,Souris (PE),Joe Carter 100%,46.35015,-62.2796,3,17.833,26.48,8.407,11,5,1103,True
2018,Souris (PE),Joe Carter 100%,46.35015,-62.2796,1,9.9,27.07,9.61,5,1,22,True
2019,Souris (PE),Joe Carter 100%,46.35015,-62.2796,3,17.503,25.967,7.417,13,84,500,True
2009,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,5,19.92,24.54,9.682,26,1344,4288,True
2010,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,5,18.16,26.5,7.144,23,684,892,True
2011,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,3,20.567,26.8,10.537,19,706,365,True
2012,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,3,26.033,26.667,7.28,9,523,1874,True
2013,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,3,25.7,27.293,9.417,16,154,415,True
2014,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,3,22.333,24.97,9.04,13,651,946,True
2015,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,3,23.933,25.797,10.967,15,70,279,True
2016,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,3,22.867,25.367,7.88,14,181,1010,True
2017,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,3,27.0,24.8,8.73,14,776,1789,True
2018,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,1,25.0,26.34,8.16,5,19,104,True
2019,Malpèque Bay (PE),Keirs Shore,46.525798,-63.697348999,1,25.6,25.79,20.82,7,2,57,True
2019,Wheatley (PE),Kingfisher Lane 10%,46.387872,-63.268845,2,21.5,12.23,18.15,3,0,6290,True
2009,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,5,15.62,21.86,8.504,46,621,2495,True
2010,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,5,16.98,22.18,8.12,48,1974,5463,True
2011,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,3,19.933,21.233,8.783,25,58,3112,True
2012,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,3,20.4,25.03,7.76,34,20,1585,True
2013,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,3,20.833,24.953,8.54,32,804,2731,True
2014,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,3,19.2,24.603,7.57,27,30,1036,True
2015,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,3,20.833,25.047,10.3,30,252,1604,True
2016,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,3,18.467,25.073,8.367,24,79,1833,True
2017,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,3,19.633,26.41,7.223,28,383,1024,True
2018,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,1,16.5,23.72,9.34,11,0,78,False
2019,Cap-Pelé (NB),Kouchibouguac River,46.21546,-64.36419,1,15.8,22.75,8.5,8,0,823,False
2004,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,5,15.284,27.26,8.338,31,263,2261,True
2005,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,5,16.8,26.62,9.26,29,14,1260,True
2006,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,5,17.18,27.54,10.142,22,184,572,True
2007,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,5,23.78,27.28,9.354,27,211,2199,True
2008,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,5,19.68,25.36,11.63,24,735,898,True
2009,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,5,15.98,23.46,8.744,32,40,958,True
2010,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,5,17.82,27.3,8.144,27,1143,2335,True
2011,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,3,21.3,23.6,11.063,19,10,1272,True
2012,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,3,22.933,27.567,7.833,19,29,13561,True
2013,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,3,21.633,25.81,10.8,20,318,1026,True
2014,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,3,19.967,23.653,8.727,19,163,1641,True
2015,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,3,19.167,24.473,7.7,20,600,676,True
2016,Shippagan (NB),L.L. Gauthier,47.739834,-64.698903,3,19.233,24.067,8.373,13,9,549,True
2007,River Phillip (NS),Landry Beach,45.84928,-63.74701,4,20.475,25.825,9.47,25,1193,5381,True
2008,River Phillip (NS),Landry Beach,45.84928,-63.74701,5,19.32,19.76,8.386,31,1055,4463,True
2009,River Phillip (NS),Landry Beach,45.84928,-63.74701,5,18.32,25.24,9.052,30,1197,985,True
2005,Pinette (PE),Larson Drive,46.061033,-62.916083,4,20.767,26.167,7.483,14,5,680,True
2006,Pinette (PE),Larson Drive,46.061033,-62.916083,2,22.25,25.4,8.705,11,16,372,True
2007,Pinette (PE),Larson Drive,46.061033,-62.916083,4,18.75,27.375,8.845,19,242,1722,True
2008,Pinette (PE),Larson Drive,46.061033,-62.916083,5,17.2,24.78,8.972,27,65,2237,True
2009,Pinette (PE),Larson Drive,46.061033,-62.916083,5,18.9,26.34,8.062,25,75,5147,True
2010,Pinette (PE),Larson Drive,46.061033,-62.916083,5,17.78,25.86,7.49,16,68,1344,True
2011,Pinette (PE),Larson Drive,46.061033,-62.916083,3,17.667,25.733,7.65,12,15,1926,True
2012,Pinette (PE),Larson Drive,46.061033,-62.916083,3,19.5,26.233,8.293,8,4,1448,False
2013,Pinette (PE),Larson Drive,46.061033,-62.916083,3,21.667,25.45,9.013,20,102,1269,True
2014,Pinette (PE),Larson Drive,46.061033,-62.916083,3,21.067,25.323,9.653,16,117,810,True
2015,Pinette (PE),Larson Drive,46.061033,-62.916083,3,18.533,26.193,11.177,14,134,456,True
2016,Pinette (PE),Larson Drive,46.061033,-62.916083,3,18.8,24.833,7.31,16,66,139,True
2017,Pinette (PE),Larson Drive,46.061033,-62.916083,3,20.4,25.68,8.34,12,35,2373,True
2018,Pinette (PE),Larson Drive,46.061033,-62.916083,1,12.9,25.08,9.35,6,0,121,False
2019,Pinette (PE),Larson Drive,46.061033,-62.916083,1,17.4,22.68,10.28,7,0,24,False
2004,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,2,20.52,22.28,8.21,17,435,891,True
2006,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,5,18.28,19.5,7.906,38,58,1179,True
2007,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,5,18.3,20.26,7.874,41,74,535,True
2008,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,5,17.9,15.26,8.8,43,881,3645,True
2009,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,5,18.48,19.06,8.242,49,380,2156,True
2010,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,5,19.04,21.96,8.888,52,1916,2008,True
2011,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,3,19.967,12.733,8.353,32,366,1365,True
2012,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,3,16.78,21.983,6.733,27,590,750,True
2013,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,3,20.467,12.373,8.817,30,391,814,True
2014,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,3,20.2,19.447,8.397,23,182,556,True
2015,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,3,20.433,19.21,7.83,31,649,1921,True
2016,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,3,19.033,16.133,7.863,27,1002,1471,True
2017,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,3,21.233,20.923,7.857,32,314,1124,True
2018,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,1,15.3,22.43,10.42,9,0,143,True
2019,Tabusintac (NB),Left side of wharf,47.341712,-64.965766,1,21.3,1926.0,9.06,10,20,1001,True
2004,Cocagne (NB),Lighthouse,46.335807,-64.615219,5,20.388,27.712,9.732,32,1588,1583,True
2005,Cocagne (NB),Lighthouse,46.335807,-64.615219,5,21.18,21.0,7.356,42,377,2544,True
2006,Cocagne (NB),Lighthouse,46.335807,-64.615219,4,19.35,24.975,7.25,32,0,1249,True
2007,Cocagne (NB),Lighthouse,46.335807,-64.615219,5,18.04,22.76,8.448,42,489,3456,True
2008,Cocagne (NB),Lighthouse,46.335807,-64.615219,5,17.9,22.5,9.378,44,1882,4063,True
2009,Cocagne (NB),Lighthouse,46.335807,-64.615219,5,17.8,22.4,8.142,43,940,5900,True
2010,Cocagne (NB),Lighthouse,46.335807,-64.615219,5,20.3,22.34,7.892,43,530,1939,True
2011,Cocagne (NB),Lighthouse,46.335807,-64.615219,3,19.5,22.4,8.303,36,161,4418,True
2012,Cocagne (NB),Lighthouse,46.335807,-64.615219,3,20.267,23.803,8.487,34,70,1254,True
2013,Cocagne (NB),Lighthouse,46.335807,-64.615219,3,20.967,20.233,9.0,33,75,1554,True
2014,Cocagne (NB),Lighthouse,46.335807,-64.615219,3,21.7,24.02,9.26,27,118,439,True
2015,Cocagne (NB),Lighthouse,46.335807,-64.615219,3,19.3,23.3,8.013,23,26,564,True
2016,Cocagne (NB),Lighthouse,46.335807,-64.615219,3,20.467,23.33,8.207,29,6,752,True
2017,Cocagne (NB),Lighthouse,46.335807,-64.615219,3,20.233,22.787,9.873,27,12,894,True
2018,Cocagne (NB),Lighthouse,46.335807,-64.615219,1,12.2,22.55,8.15,9,0,297,False
2019,Cocagne (NB),Lighthouse,46.335807,-64.615219,1,21.9,22.61,8.61,11,0,289,True
2007,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,5,16.94,22.168,6.668,34,763,952,True
2008,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,5,17.86,25.24,8.928,39,14,775,True
2009,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,5,17.26,25.48,8.046,29,129,627,True
2010,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,5,19.14,25.86,8.558,27,11,853,True
2011,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,3,19.633,26.233,5.32,25,367,157,True
2012,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,3,22.133,26.5,7.997,23,396,165,False
2013,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,3,20.833,25.943,7.353,19,39,67,True
2014,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,3,19.9,25.167,8.163,17,134,182,True
2015,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,3,19.367,24.463,9.2,17,21,552,True
2016,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,3,22.633,25.3,8.537,18,13,742,True
2017,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,3,19.6,26.05,7.59,15,58,291,True
2018,Summerside (PE),Linkletter Provincial Park,46.398003,-63.857097,1,23.0,26.24,7.88,8,0,236,False
2004,Scoudouc River (NB),Lobster,46.218937,-64.554866,5,19.596,23.74,8.63,38,746,3990,True
2005,Scoudouc River (NB),Lobster,46.218937,-64.554866,5,20.772,22.674,7.53,42,816,7059,True
2006,Scoudouc River (NB),Lobster,46.218937,-64.554866,5,20.18,22.94,6.342,39,4560,2842,True
2007,Scoudouc River (NB),Lobster,46.218937,-64.554866,5,20.42,24.58,8.804,44,115,1188,True
2008,Scoudouc River (NB),Lobster,46.218937,-64.554866,5,18.92,14.1,8.9,42,406,2928,True
2009,Scoudouc River (NB),Lobster,46.218937,-64.554866,5,19.62,20.12,9.562,44,126,2659,True
2010,Scoudouc River (NB),Lobster,46.218937,-64.554866,5,18.24,23.04,7.25,35,169,1159,True
2011,Scoudouc River (NB),Lobster,46.218937,-64.554866,3,18.4,16.733,7.647,22,34,933,True
2012,Scoudouc River (NB),Lobster,46.218937,-64.554866,3,22.85,23.427,7.893,21,55,802,True
2013,Scoudouc River (NB),Lobster,46.218937,-64.554866,3,22.367,16.837,10.057,33,828,1593,True
2014,Scoudouc River (NB),Lobster,46.218937,-64.554866,3,23.067,21.803,8.7,27,31,902,True
2015,Scoudouc River (NB),Lobster,46.218937,-64.554866,3,19.633,24.143,7.753,25,72,370,True
2016,Scoudouc River (NB),Lobster,46.218937,-64.554866,3,18.3,14.55,8.923,29,2,561,True
2017,Scoudouc River (NB),Lobster,46.218937,-64.554866,3,19.4,22.543,7.227,30,231,548,True
2018,Scoudouc River (NB),Lobster,46.218937,-64.554866,1,17.0,15.04,9.41,10,2,401,False
2019,Scoudouc River (NB),Lobster,46.218937,-64.554866,1,15.6,20.3,7.89,8,2,226,False
2005,River Phillip (NS),Lobster Shed,45.853004,-63.744756,4,17.475,20.65,9.178,29,33,1056,True
2006,River Phillip (NS),Lobster Shed,45.853004,-63.744756,4,19.425,21.575,7.498,30,281,1634,True
2007,River Phillip (NS),Lobster Shed,45.853004,-63.744756,4,21.1,26.4,8.275,25,203,510,True
2008,River Phillip (NS),Lobster Shed,45.853004,-63.744756,5,16.98,20.64,7.764,36,3561,3396,True
2009,River Phillip (NS),Lobster Shed,45.853004,-63.744756,5,19.24,22.46,8.714,33,556,1880,False
2004,Mill River (PE),Long Creek,46.763,-64.146667,5,17.332,23.052,9.398,37,1245,4509,True
2005,Mill River (PE),Long Creek,46.763,-64.146667,5,18.78,18.02,9.772,35,2221,3221,True
2006,Mill River (PE),Long Creek,46.763,-64.146667,5,20.72,22.24,7.448,22,1071,2752,True
2007,Mill River (PE),Long Creek,46.763,-64.146667,5,20.3,22.26,9.458,28,301,1983,True
2008,Mill River (PE),Long Creek,46.763,-64.146667,5,20.12,20.76,11.148,21,1405,1966,True
2009,Mill River (PE),Long Creek,46.763,-64.146667,5,22.2,16.58,14.07,17,2,2600,True
2010,Mill River (PE),Long Creek,46.763,-64.146667,5,20.7,21.72,10.255,25,2997,3759,True
2011,Mill River (PE),Long Creek,46.763,-64.146667,3,23.067,20.8,7.867,28,560,628,True
2012,Mill River (PE),Long Creek,46.763,-64.146667,3,23.833,24.4,11.647,12,1537,448,True
2013,Mill River (PE),Long Creek,46.763,-64.146667,3,21.333,20.037,11.157,12,1471,965,True
2014,Mill River (PE),Long Creek,46.763,-64.146667,3,24.6,21.063,10.57,14,410,1539,True
2015,Mill River (PE),Long Creek,46.763,-64.146667,3,23.467,16.043,14.797,18,801,1906,True
2016,Mill River (PE),Long Creek,46.763,-64.146667,3,23.667,22.533,8.85,17,8860,1395,True
2017,Mill River (PE),Long Creek,46.763,-64.146667,3,23.033,22.663,9.083,18,1208,2159,True
2018,Mill River (PE),Long Creek,46.763,-64.146667,1,20.9,20.47,10.75,7,10,170,True
2019,Mill River (PE),Long Creek,46.763,-64.146667,1,23.5,18.7,10.44,8,70,1438,True
2004,Pictou (NS),Lyon's Brook,45.67583,-62.74132,5,17.82,25.22,6.29,37,134,6386,True
2005,Pictou (NS),Lyon's Brook,45.67583,-62.74132,5,18.76,23.82,7.954,37,57,2380,True
2006,Pictou (NS),Lyon's Brook,45.67583,-62.74132,5,19.78,20.1,6.84,41,748,5251,True
2007,Pictou (NS),Lyon's Brook,45.67583,-62.74132,5,19.68,15.88,9.998,46,1238,4594,True
2008,Pictou (NS),Lyon's Brook,45.67583,-62.74132,5,19.6,19.72,7.754,48,1036,3551,True
2009,Pictou (NS),Lyon's Brook,45.67583,-62.74132,5,20.34,22.28,8.97,50,516,2769,True
2010,Pictou (NS),Lyon's Brook,45.67583,-62.74132,5,19.44,25.04,8.032,52,60,2164,True
2011,Pictou (NS),Lyon's Brook,45.67583,-62.74132,3,22.033,19.8,6.35,27,267,2261,True
2012,Pictou (NS),Lyon's Brook,45.67583,-62.74132,3,23.733,24.283,9.757,29,48,3323,True
2013,Pictou (NS),Lyon's Brook,45.67583,-62.74132,3,21.9,22.017,8.723,26,152,1221,True
2014,Pictou (NS),Lyon's Brook,45.67583,-62.74132,3,22.5,19.317,8.19,16,344,855,True
2015,Pictou (NS),Lyon's Brook,45.67583,-62.74132,3,22.7,20.987,9.083,29,302,1021,True
2016,Pictou (NS),Lyon's Brook,45.67583,-62.74132,3,21.467,25.813,7.877,26,15,402,True
2017,Pictou (NS),Lyon's Brook,45.67583,-62.74132,3,21.867,26.037,8.13,28,7,340,True
2018,Pictou (NS),Lyon's Brook,45.67583,-62.74132,1,25.5,15.69,9.79,8,2,293,True
2019,Pictou (NS),Lyon's Brook,45.67583,-62.74132,1,19.9,6.49,9.31,10,0,565,True
2005,Murray River (PE),Machons Point,46.018891,-62.511072,4,19.8,27.825,8.27,31,139,759,True
2006,Murray River (PE),Machons Point,46.018891,-62.511072,2,22.0,26.8,10.515,12,145,2136,True
2007,Murray River (PE),Machons Point,46.018891,-62.511072,5,15.7,28.72,8.254,29,0,590,True
2008,Murray River (PE),Machons Point,46.018891,-62.511072,5,17.5,26.6,8.334,35,44,3208,True
2009,Murray River (PE),Machons Point,46.018891,-62.511072,5,15.4,27.62,8.758,25,566,400,True
2010,Murray River (PE),Machons Point,46.018891,-62.511072,5,17.42,27.76,8.12,26,164,380,True
2011,Murray River (PE),Machons Point,46.018891,-62.511072,3,15.933,26.133,7.463,10,4,204,True
2012,Murray River (PE),Machons Point,46.018891,-62.511072,3,20.833,27.533,7.513,12,23,623,True
2013,Murray River (PE),Machons Point,46.018891,-62.511072,3,18.133,28.653,9.35,11,123,59,True
2014,Murray River (PE),Machons Point,46.018891,-62.511072,3,19.767,26.87,9.61,11,697,1099,True
2015,Murray River (PE),Machons Point,46.018891,-62.511072,3,18.433,27.65,11.263,17,0,396,True
2016,Murray River (PE),Machons Point,46.018891,-62.511072,3,16.9,26.867,8.44,12,726,165,True
2017,Murray River (PE),Machons Point,46.018891,-62.511072,3,16.833,27.86,8.117,19,70,411,False
2018,Murray River (PE),Machons Point,46.018891,-62.511072,1,11.4,28.5,10.62,9,0,172,False
2019,Murray River (PE),Machons Point,46.018891,-62.511072,1,16.6,27.32,10.13,8,1,347,True
2004,Mabou (NS),MacLean's Point,46.07815,-61.455567,5,15.12,23.86,7.848,58,97,2345,True
2005,Mabou (NS),MacLean's Point,46.07815,-61.455567,5,15.58,24.08,8.532,53,27,2989,True
2006,Mabou (NS),MacLean's Point,46.07815,-61.455567,5,18.82,26.36,8.354,54,283,2899,True
2007,Mabou (NS),MacLean's Point,46.07815,-61.455567,5,17.96,17.68,8.804,57,318,3394,True
2008,Mabou (NS),MacLean's Point,46.07815,-61.455567,5,17.9,25.48,9.178,60,486,3617,True
2009,Mabou (NS),MacLean's Point,46.07815,-61.455567,5,18.4,26.664,8.888,53,267,1437,True
2010,Mabou (NS),MacLean's Point,46.07815,-61.455567,5,18.916,25.14,7.542,60,63,1026,True
2011,Mabou (NS),MacLean's Point,46.07815,-61.455567,4,17.625,25.75,8.808,47,21,1398,True
2012,Mabou (NS),MacLean's Point,46.07815,-61.455567,3,20.0,26.487,8.123,16,4,219,True
2013,Mabou (NS),MacLean's Point,46.07815,-61.455567,3,21.5,25.095,8.575,13,812,176,True
2014,Mabou (NS),MacLean's Point,46.07815,-61.455567,3,19.767,18.807,8.56,38,91,1670,True
2015,Mabou (NS),MacLean's Point,46.07815,-61.455567,2,17.0,25.775,9.535,26,43,281,True
2016,Mabou (NS),MacLean's Point,46.07815,-61.455567,3,19.3,21.643,8.56,32,24,211,True
2017,Mabou (NS),MacLean's Point,46.07815,-61.455567,3,21.267,25.77,8.737,40,31,1172,True
2018,Mabou (NS),MacLean's Point,46.07815,-61.455567,1,20.3,15.93,10.75,6,7,32,False
2019,Mabou (NS),MacLean's Point,46.07815,-61.455567,1,19.6,24.71,8.61,11,32,184,False
2011,Brackley/Covehead (PE),MacMillan's Point,46.420833333333334,-63.1658333333333,3,20.567,26.967,8.393,33,1725,5076,True
2012,Brackley/Covehead (PE),MacMillan's Point,46.420833333333334,-63.1658333333333,3,22.033,26.267,9.993,25,507,4345,True
2013,Brackley/Covehead (PE),MacMillan's Point,46.420833333333334,-63.1658333333333,3,19.333,25.737,9.047,35,339,4768,True
2014,Brackley/Covehead (PE),MacMillan's Point,46.420833333333334,-63.1658333333333,3,21.5,24.967,8.923,26,576,1990,True
2015,Brackley/Covehead (PE),MacMillan's Point,46.420833333333334,-63.1658333333333,3,22.133,25.68,11.343,30,135,1619,True
2016,Brackley/Covehead (PE),MacMillan's Point,46.420833333333334,-63.1658333333333,3,23.8,25.367,9.323,32,17,1128,True
2017,Brackley/Covehead (PE),MacMillan's Point,46.420833333333334,-63.1658333333333,3,22.05,25.225,9.06,29,882,1072,True
2018,Brackley/Covehead (PE),MacMillan's Point,46.420833333333334,-63.1658333333333,1,23.8,26.0,13.49,8,1,572,True
2019,Brackley/Covehead (PE),MacMillan's Point,46.420833333333334,-63.1658333333333,1,0,0,0,8,88,130,True
2004,Mabou (NS),MacPhee's Point,46.082867,-61.441933,5,15.98,23.42,7.76,51,393,530,True
2005,Mabou (NS),MacPhee's Point,46.082867,-61.441933,5,16.42,18.68,9.306,45,8,1084,True
2006,Mabou (NS),MacPhee's Point,46.082867,-61.441933,5,19.88,24.86,8.088,58,158,1221,True
2007,Mabou (NS),MacPhee's Point,46.082867,-61.441933,5,17.96,16.34,8.364,53,171,759,True
2008,Mabou (NS),MacPhee's Point,46.082867,-61.441933,5,19.24,22.88,10.128,61,349,973,True
2009,Mabou (NS),MacPhee's Point,46.082867,-61.441933,5,19.372,24.822,8.69,54,354,1600,True
2010,Mabou (NS),MacPhee's Point,46.082867,-61.441933,5,20.68,22.54,8.534,54,78,582,True
2011,Mabou (NS),MacPhee's Point,46.082867,-61.441933,4,18.0,24.025,9.008,30,11,417,True
2012,Mabou (NS),MacPhee's Point,46.082867,-61.441933,3,21.567,25.327,8.577,19,0,172,True
2013,Mabou (NS),MacPhee's Point,46.082867,-61.441933,3,20.75,25.915,9.95,26,292,142,True
2014,Mabou (NS),MacPhee's Point,46.082867,-61.441933,3,22.4,16.33,8.703,25,29,203,True
2015,Mabou (NS),MacPhee's Point,46.082867,-61.441933,3,18.167,20.677,10.473,30,5,604,True
2016,Mabou (NS),MacPhee's Point,46.082867,-61.441933,3,20.433,20.413,9.507,37,35,445,True
2017,Mabou (NS),MacPhee's Point,46.082867,-61.441933,3,22.767,25.313,9.137,29,7,489,True
2018,Mabou (NS),MacPhee's Point,46.082867,-61.441933,1,19.7,19.19,11.33,9,5,88,True
2019,Mabou (NS),MacPhee's Point,46.082867,-61.441933,1,19.6,25.36,19.06,8,17,147,True
2008,Desable River (PE),MacQuarries,46.19352777777778,-63.4271388888889,5,18.06,25.56,10.012,19,8170,5499,True
2009,Desable River (PE),MacQuarries,46.19352777777778,-63.4271388888889,5,17.26,26.14,9.108,18,2276,1709,True
2010,Desable River (PE),MacQuarries,46.19352777777778,-63.4271388888889,5,15.95,28.275,8.352,21,142,405,True
2011,Desable River (PE),MacQuarries,46.19352777777778,-63.4271388888889,3,14.933,26.567,6.873,5,0,982,True
2012,Desable River (PE),MacQuarries,46.19352777777778,-63.4271388888889,3,19.7,26.7,7.53,8,10,388,True
2013,Desable River (PE),MacQuarries,46.19352777777778,-63.4271388888889,3,18.8,27.36,8.097,11,1176,2355,True
2014,Desable River (PE),MacQuarries,46.19352777777778,-63.4271388888889,3,19.133,25.613,7.703,13,215,153,True
2008,Desable River (PE),Maggies,46.18830555555556,-63.4218888888889,5,17.86,23.98,9.066,23,6926,14237,True
2009,Desable River (PE),Maggies,46.18830555555556,-63.4218888888889,5,16.96,21.56,8.962,15,69,2406,True
2010,Desable River (PE),Maggies,46.18830555555556,-63.4218888888889,4,17.8,27.467,8.037,11,401,4079,True
2011,Desable River (PE),Maggies,46.18830555555556,-63.4218888888889,3,16.133,27.0,6.837,8,7,268,True
2012,Desable River (PE),Maggies,46.18830555555556,-63.4218888888889,3,21.533,26.9,7.997,7,133,2043,True
2013,Desable River (PE),Maggies,46.18830555555556,-63.4218888888889,3,19.8,26.07,7.967,11,879,1075,True
2014,Desable River (PE),Maggies,46.18830555555556,-63.4218888888889,3,18.9,26.583,7.887,13,688,464,True
2009,Tatamagouche (NS),Malagash Centre,45.77285,-63.305167,5,17.966,27.34,7.856,24,1397,1437,True
2010,Tatamagouche (NS),Malagash Centre,45.77285,-63.305167,5,18.36,27.634,8.278,26,77,989,True
2011,Tatamagouche (NS),Malagash Centre,45.77285,-63.305167,3,23.6,27.3,10.113,11,50,1153,True
2012,Tatamagouche (NS),Malagash Centre,45.77285,-63.305167,3,22.3,25.527,7.863,11,7,864,True
2013,Tatamagouche (NS),Malagash Centre,45.77285,-63.305167,3,22.633,28.21,10.027,17,12,3121,True
2014,Tatamagouche (NS),Malagash Centre,45.77285,-63.305167,3,19.667,27.293,9.24,11,580,1425,True
2015,Tatamagouche (NS),Malagash Centre,45.77285,-63.305167,3,17.733,27.737,8.003,14,168,324,True
