site,province,station,latitude_de_station,longitude_de_station,saisons_en_opération_et_nombre_échontillions,liste_des_espèces_capturées,list_de_VAS,nombre_total_de_poisson_capturées,nombre_annuel_moyen_de_poissons_capturés
Scoudouc River,N-B,Bridge out,46.219562,-64.553471,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",38027,2376.69
Scoudouc River,N-B,Fish Plant,46.219115,-64.553316,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Lancon dAmérique, Capucette dAtlantique, Épinoche tachetée, Alose dété, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",198086,12380.38
Scoudouc River,N-B,Gazibo,46.21465,-64.552165,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèces truites, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",36333,2270.81
Scoudouc River,N-B,Lobster,46.218937,-64.554866,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Truite arc-en-ciel, Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",36356,2272.25
Scoudouc River,N-B,Rue Dock,46.220777,-64.552474,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(2), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Merluche blanche, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",37386,2336.63
Shediac River,N-B,Albert Gallant,46.279518,-64.572578,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Ruppie maritime",17222,1324.77
Shediac River,N-B,Bridge in,46.273467,-64.576255,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Zostere marine, Algue verte, Codium Fragile, Espece Fucus",22814,1754.92
Shediac River,N-B,Chez Leo,46.273139,-64.575275,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",16204,1246.46
Shediac River,N-B,Indian Point,46.273319,-64.56477,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",19926,1532.77
Shediac River,N-B,Seagull,46.270801,-64.574252,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Espece Fucus, Ruppie maritime",25136,1933.54
Shediac River,N-B,Wetland,46.274617,-64.571954,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte",10966,843.54
Shippagan,N-B,Chiasson Office,47.746584,-64.657552,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",40999,3153.77
Shippagan,N-B,L.L. Gauthier,47.739834,-64.698903,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Lancon dAmérique, Capucette dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",32927,2532.85
Shippagan,N-B,Pointe Brulee,47.754598,-64.724922,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Gaspereau, Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Laminaires, Espece Fucus, Ruppie maritime",58699,4515.31
Shippagan,N-B,Pt. Sauvage,47.732,-64.684004,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(2), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Gaspereau, Lancon dAmérique, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Codium Fragile, Laminaires, Espece Fucus, Ruppie maritime",29805,2292.69
Shippagan,N-B,Rue Degrace,47.748023,-64.71095,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Gaspereau, Alosa sp. (Gaspereau ou Alose dété), Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Laminaires, Espece Fucus, Ruppie maritime",28904,2223.38
Shippagan,N-B,Savoy Landing,47.753414,-64.692647,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Espece Fucus",20215,1555.00
St-Louis de Kent,N-B,Ch. Ghislain South,46.747258,-64.963693,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèces truites, Espèce inconnue, Bar-perche, Plie rouge","Algue brune filamenteuse, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",33906,2119.13
St-Louis de Kent,N-B,Park North,46.75123,-64.951922,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Bar-perche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",31367,1960.44
St-Louis de Kent,N-B,Park South,46.750968,-64.949386,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèces truites, Bar-perche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Ruppie maritime",38176,2386.00
St-Louis de Kent,N-B,Pointe a Donatien,46.746883,-64.970356,"2004(5), 2005(5), 2006(5), 2007(5), 2008(4), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèces truites, Bar-perche, Menier Noir, Plie rouge","Algue brune filamenteuse, Zostere marine, Algue verte, Ruppie maritime",27577,1838.47
St-Louis de Kent,N-B,Pointe a Maxime,46.766254,-64.911184,"2004(5), 2005(5), 2006(5), 2007(5), 2008(4), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Merluche blanche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",39419,2815.64
St-Louis de Kent,N-B,Wharf,46.757328,-64.917023,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèces truites, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Ruppie maritime",63307,3956.69
Tabusintac,N-B,Bayshore,47.376278,-64.938145,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",27424,1828.27
Tabusintac,N-B,Cemetary,47.332778,-64.995865,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(2), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",27433,1828.87
Tabusintac,N-B,Covedell Rd.,47.330701,-64.972889,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Épinoche a cinq épines, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte",34963,2330.87
Tabusintac,N-B,Left side of wharf,47.341712,-64.965766,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",26817,1787.80
Tabusintac,N-B,Next to bridge,47.331656,-65.009059,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Truite mouchetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Ruppie maritime",38773,2584.87
Tabusintac,N-B,Right side of wharf,47.340217,-64.972078,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",58106,3873.73
Tracadie,N-B,Allee des Canards,47.527732,-64.894019,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",15899,1135.64
Tracadie,N-B,Chalets des 2 Rivieres,47.51692,-64.899713,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Anguille dAmérique, Maquereau bleu, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Truite arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",26111,1865.07
Tracadie,N-B,Parc Val Comeau,47.473463,-64.873712,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Anguille dAmérique, Maquereau bleu, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Épinoche a quatre épines, Crevette dherbe, Crapaud de mer nain, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",23089,1649.21
Tracadie,N-B,Pointe des Ferguson,47.471838,-64.897916,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(1), 2018(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a cinq épines, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",11726,837.57
Tracadie,N-B,Quai Val Comeau,47.464352,-64.886087,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a quatre épines, Crevette dherbe, Crapaud de mer nain, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",14879,1062.79
Tracadie,N-B,Rue McLaughlin,47.489795,-64.885233,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(2), 2017(3), 2018(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crapaud de mer nain, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",26204,1871.71
Antigonish,N-É,Aveline Ave,45.667195,-61.884295,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(4), 2013(2), 2014(3), 2015(1), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Choquemort, Épinoche a neuf épines, Syngnate brun, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge, Limande à queu jaune","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",36071,2254.44
