site,province,station,station_latitude,station_longitude,seasons_in_operation_and_samples_collected,list_of_species_caught,list_of_SAV,total_number_of_fish_caught,mean_annual_number_of_fish_caught
Scoudouc River,NB,Rue Dock,46.220777,-64.552474,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(2), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Hake, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",37386,2336.63
Shediac River,NB,Albert Gallant,46.279518,-64.572578,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Widgeon grass",17222,1324.77
Shediac River,NB,Bridge in,46.273467,-64.576255,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Eelgrass, Green algae, Green Fleece, Rockweed",22814,1754.92
Shediac River,NB,Chez Leo,46.273139,-64.575275,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",16204,1246.46
Shediac River,NB,Indian Point,46.273319,-64.56477,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",19926,1532.77
Shediac River,NB,Seagull,46.270801,-64.574252,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",25136,1933.54
Shediac River,NB,Wetland,46.274617,-64.571954,"2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae",10966,843.54
Shippagan,NB,Chiasson Office,47.746584,-64.657552,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",40999,3153.77
Shippagan,NB,L.L. Gauthier,47.739834,-64.698903,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","American Sand Lance, Atlantic Silverside, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",32927,2532.85
Shippagan,NB,Pointe Brulee,47.754598,-64.724922,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Kelps, Rockweed, Widgeon grass",58699,4515.31
Shippagan,NB,Pt. Sauvage,47.732,-64.684004,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(2), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Green Fleece, Kelps, Rockweed, Widgeon grass",29805,2292.69
Shippagan,NB,Rue Degrace,47.748023,-64.71095,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Alewife (Gaspereau), Alosa sp. (Alewife or blueback herring), Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Kelps, Rockweed, Widgeon grass",28904,2223.38
Shippagan,NB,Savoy Landing,47.753414,-64.692647,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed",20215,1555.00
St-Louis de Kent,NB,Ch. Ghislain South,46.747258,-64.963693,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, Unknown species, White Perch, Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Rockweed, Widgeon grass",33906,2119.13
St-Louis de Kent,NB,Park North,46.75123,-64.951922,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",31367,1960.44
St-Louis de Kent,NB,Park South,46.750968,-64.949386,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, White Perch, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Widgeon grass",38176,2386.00
St-Louis de Kent,NB,Pointe a Donatien,46.746883,-64.970356,"2004(5), 2005(5), 2006(5), 2007(5), 2008(4), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, White Perch, White Sucker, Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Widgeon grass",27577,1838.47
St-Louis de Kent,NB,Pointe a Maxime,46.766254,-64.911184,"2004(5), 2005(5), 2006(5), 2007(5), 2008(4), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, White Hake, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",39419,2815.64
St-Louis de Kent,NB,Wharf,46.757328,-64.917023,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Widgeon grass",63307,3956.69
Tabusintac,NB,Bayshore,47.376278,-64.938145,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",27424,1828.27
Tabusintac,NB,Cemetary,47.332778,-64.995865,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(2), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",27433,1828.87
Tabusintac,NB,Covedell Rd.,47.330701,-64.972889,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Brook stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae",34963,2330.87
Tabusintac,NB,Left side of wharf,47.341712,-64.965766,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",26817,1787.80
Tabusintac,NB,Next to bridge,47.331656,-65.009059,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Widgeon grass",38773,2584.87
Tabusintac,NB,Right side of wharf,47.340217,-64.972078,"2004(2), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",58106,3873.73
Tracadie,NB,Allee des Canards,47.527732,-64.894019,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",15899,1135.64
Tracadie,NB,Chalets des 2 Rivieres,47.51692,-64.899713,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), American Eel, Atlantic Mackerel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rainbow Trout, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",26111,1865.07
Tracadie,NB,Parc Val Comeau,47.473463,-64.873712,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), American Eel, Atlantic Mackerel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Fourspine Stickleback, Grass Shrimp, Grubby, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",23089,1649.21
Tracadie,NB,Pointe des Ferguson,47.471838,-64.897916,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(1), 2018(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",11726,837.57
Tracadie,NB,Quai Val Comeau,47.464352,-64.886087,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Grubby, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",14879,1062.79
Tracadie,NB,Rue McLaughlin,47.489795,-64.885233,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(2), 2017(3), 2018(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Grubby, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",26204,1871.71
Antigonish,NS,Aveline Ave,45.667195,-61.884295,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(4), 2013(2), 2014(3), 2015(1), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",36071,2254.44
Antigonish,NS,Dunn's Beach,45.68314,-61.87121,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(4), 2010(5), 2011(5), 2012(4), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rainbow Trout, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, White Perch, Windowpane Flounder , Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",35601,2225.06
Antigonish,NS,Eden,45.659083,-61.909083,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(5), 2012(4), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rainbow Trout, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, White Hake, White Perch, Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",41055,2565.94
Antigonish,NS,Naveen Lane,45.635338,-61.904481,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(4), 2013(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Salmon, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook Trout, Cunner, Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Trout Species, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",58975,4536.54
Antigonish,NS,Seabright,45.67237,-61.90695,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(5), 2012(4), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Blueback Herring, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rainbow Trout, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Trout Species, White Hake, Windowpane Flounder , Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",102310,6394.38
Antigonish,NS,Terra Tory Drive,45.65924,-61.913261,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(4), 2012(4), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Blueback Herring, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, White Hake, Winter Flounder, Yellowtail Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",39879,2492.44
Cheticamp,NS,Causeway,46.60239,-61.0345,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","American Eel, American Sand Lance, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, White Perch, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",25077,2279.73
