project_code__code_du_projet,sample_number__numéro_d'échantillon,waterbody_name__nom_masse_d'eau,collection_date__date_de_collecte,net/trap_type__type_filet/piège,scientific_name__nom_scientifique,common_name__nom_commun,abbreviated_name__nom_abrégé,dissection_date__date_dissection,fork_length__longueur_fourche,total_length__longueur_totale,total_mass__masse_totale,dna_tube_size__taille_tube_adn,notes__notes
MLR21,1149,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7.3,7.3,3.7,1.5,
MLR21,1150,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7,7,3.1,1.5,Small liver sample
MLR21,1151,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7,7,3.6,1.5,Black spots small liver sample
MLR21,1152,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7.3,7.3,4,1.5,Small liver sample
MLR21,1153,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7.5,7.5,3.3,1.5,
MLR21,1154,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,6.6,6.6,2.8,1.5,Small liver sample
MLR21,1155,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,6.7,6.7,3.1,1.5,Eroded caudal black spots small liver
MLR21,1156,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7,7,3.6,1.5,Black spots small liver sample
MLR21,1157,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,8.3,8.3,5.3,1.5,Black spots small liver sample
MLR21,1158,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7.5,7.5,4,1.5,Black spots small liver sample
MLR21,1159,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7.6,7.6,3.8,1.5,Small liver sample
MLR21,1160,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,8.9,8.9,7.2,1.5,Black spots small liver sample
MLR21,1161,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7.4,7.4,4.2,1.5,Black spots small liver sample
MLR21,1162,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7.5,7.5,4.3,1.5,Small liver sample
MLR21,1163,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,8.6,8.6,6.6,1.5,Small liver sample
MLR21,1164,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,8.4,8.4,5.4,1.5,Black spots small liver sample
MLR21,1165,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,7.6,7.6,4.1,1.5,Black spots small liver sample
MLR21,1166,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,9.1,9.1,7.1,1.5,Small liver sample
MLR21,1167,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,8.7,8.7,6.4,1.5,Small liver sample
MLR21,1168,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,9.2,9.2,7.4,1.5,Black spots small liver sample
MLR21,1169,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,8.6,8.6,7,1.5,Small liver sample
MLR21,1170,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,9,9,7.4,1.5,
MLR21,1171,Miramichi,2021/07/19,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2022/09/16,8.6,8.6,6.8,1.5,Black spots small liver sample
MLR21,1459,Mckiel Pond,2021/08/10,N/A,Salmo salar,Atlantic Salmon Parr,Parr,2023/02/09,9.8,10.6,12.6,2,
MLR21,1460,Mckiel Pond,2021/08/10,N/A,Salmo salar,Atlantic Salmon Parr,Parr,2023/02/09,N/A,10.5,14.2,2,Eroded caudal
MLR21,1461,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/09,11.9,12.5,18.4,2,Small stomach content
MLR21,1462,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/09,10.3,10.8,13.6,2,Small stomach content
MLR21,1463,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/09,13.5,14.1,32.5,2,Small stomach content
MLR21,1464,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/09,10.4,10.9,13.2,2,Small stomach content
MLR21,1465,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/13,31.1,35,506.9,50,
MLR21,1466,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/13,36.5,38.9,662.8,50,
MLR21,1467,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/13,37,37.9,628.6,50,Eroded caudal
MLR21,1468,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/13,35.9,38.1,618.1,50,
MLR21,1469,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/13,33,36.1,649.5,50,Eroded caudal
MLR21,1470,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,31.9,34.2,426.8,50,
MLR21,1471,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,27.6,31.3,375.2,50,Eroded caudal
MLR21,1472,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,35.6,38,582.6,50,
MLR21,1473,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,36.8,39.6,666.6,50,
MLR21,1474,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,33,38.4,629.3,50,Eroded caudal
MLR21,1475,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,31.3,33.5,423.6,50,
MLR21,1476,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,31.5,33.6,437.9,50,
MLR21,1477,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,31,33,443,50,
MLR21,1478,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,33.3,37.5,642.7,50,Eroded caudal
MLR21,1479,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,38.8,40.5,758.6,50,
MLR21,1480,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,33.2,35.8,510.7,50,
MLR21,1481,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,34,36.9,551.7,50,
MLR21,1482,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,35.7,38.3,641.3,50,
MLR21,1483,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,35.9,38.4,620,50,
MLR21,1484,Mckiel Pond,2019/09/19,Gill net,Castostomus commersonii,White Sucker,W.S.,2023/02/14,33,35.1,507,50,
MLR21,1485,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,7.6,8.4,5.5,2,No more scales in the foil 
MLR21,1486,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,11.4,12.1,20.1,2,
MLR21,1487,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,11.1,11.7,17.7,2,
MLR21,1488,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.5,9.9,9.2,2,
MLR21,1489,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.1,9.6,8.4,2,
MLR21,1490,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.4,9.9,8.5,2,
MLR21,1491,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,7.3,7.5,4.9,2,Eroded caudal
MLR21,1492,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,7.3,7.7,4.7,2,
MLR21,1493,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,8.9,9.5,7.1,2,
MLR21,1494,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,13,13.6,26.6,2,
MLR21,1495,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,10.9,11.5,15.8,2,
MLR21,1496,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,11.5,12.5,19.6,2,
MLR21,1497,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.5,10,10.3,2,
MLR21,1498,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,10.4,11,11.7,2,
MLR21,1499,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.5,10,9,2,
MLR21,1500,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.5,9.9,8.9,2,
MLR21,1501,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.9,10.3,10.5,2,
MLR21,1502,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.6,10.1,10.3,2,
MLR21,1503,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.4,9.9,9.1,2,Eroded caudal
MLR21,1504,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,8.3,8.4,7.3,2,
MLR21,1505,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.4,9.8,9.1,2,
MLR21,1506,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,8.7,9.2,7.8,2,
MLR21,1507,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,9.1,9.5,8,2,
MLR21,1508,Miramichi,2021/08/11,Z-trap ,Perca flavescens,Yellow Perch,Y.P.,2023/02/20,8,8.4,6.1,2,
MLR21,1509,Miramichi,2021/08/12,N/A,Semotilus corporalis,Fall Fish,F.F.,2023/02/21,20.5,22.2,109,2,
MLR21,1510,Miramichi,2021/08/12,N/A,Castostomus commersonii,White Sucker,W.S.,2023/02/21,30,33.1,351.2,5,
MLR21,1511,Miramichi,2021/08/12,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2023/02/21,16.1,16.5,54.9,2,No scales
MLR21,1512,Miramichi,2021/08/12,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2023/02/21,19.5,20.2,97.5,2,"No scales, fish in stomach"
MLR21,1513,Miramichi,2021/08/12,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2023/02/21,17.2,17.4,86.4,2,"No scales, fish in stomach"
MLR21,1514,Miramichi,2021/08/12,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2023/02/21,18.9,19.4,106.9,2,No scales 
MLR21,1515,Miramichi,2021/08/12,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2023/02/21,22.6,23.1,187.9,2,"No scales, fish in stomach"
MLR21,1516,Miramichi,2021/08/12,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2023/02/21,21.9,22.5,201,2,"No scales, fish in stomach"
MLR21,1517,Miramichi,2021/08/12,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2023/02/21,24.4,25.1,227.7,2,No scales
MLR21,1518,Miramichi,2021/08/12,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2023/02/21,21.5,22,168.2,2,"No scale, fish and dragonfly larvae in stomach"
MLR21,1519,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,9,9,7,2,
MLR21,1520,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,8.4,8.4,5.4,2,
MLR21,1521,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7,7,4.1,2,No caudal
MLR21,1522,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.6,7.6,4.1,2,Small liver
MLR21,1523,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.7,6.7,3.9,2,Eroded caudal
MLR21,1524,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.3,7.3,4.1,2,Small liver
MLR21,1525,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,8.7,8.7,6.5,2,
MLR21,1526,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7,7,3.9,2,No caudal
MLR21,1527,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.3,6.3,2.7,2,Eroded caudal
MLR21,1528,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.6,6.6,4,2,Small liver
MLR21,1529,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.5,7.5,4,2,
MLR21,1530,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6,6,2.7,2,"No caudal,no picture"
MLR21,1531,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.5,7.5,4,2,No picture
MLR21,1532,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7,7,4.5,2,"No picture, eroded cadual, small liver"
MLR21,1533,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.6,7.6,4.3,2,No picture
MLR21,1534,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.6,7.6,4.3,2,No picture
MLR21,1535,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.1,7.1,3.2,2,"No picture, small liver"
MLR21,1536,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.9,6.9,3,2,"No picture, small liver"
MLR21,1537,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.7,6.7,3.1,2,No picture
MLR21,1538,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.2,7.2,3.6,2,No picture
MLR21,1539,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.4,7.4,3.7,2,
MLR21,1540,Miramichi,2021/08/12,N/A,Semotilus corporalis,Fall Fish,F.F.,2023/02/22,5.6,6.4,1.9,2,
MLR21,1541,Miramichi,2021/08/12,N/A,Semotilus corporalis,Fall Fish,F.F.,2023/02/22,5.6,5.6,1.6,2,"Eroded caudal, no pelvic fin "
MLR21,1542,Miramichi,2021/08/12,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/22,4.9,5.1,1.4,2,
MLR21,1543,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.3,6.3,3.2,2,No caudal
MLR21,1544,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.6,6.6,3.3,2,"Eroded caudal, small liver"
MLR21,1545,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.4,7.4,3.7,2,
MLR21,1546,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.5,6.5,3.9,2,No caudal
MLR21,1547,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,8.4,8.4,3.5,2,
MLR21,1548,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.1,7.1,3.2,2,
MLR21,1549,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.5,7.5,3.5,2,
MLR21,1550,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.6,6.6,3.1,2,"Eroded caudal, small liver"
MLR21,1551,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.2,7.2,3.2,2,Small liver
MLR21,1552,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7,7,3.1,2,"Eroded caudal, small liver"
MLR21,1553,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,7.1,7.1,2.9,2,Small liver
MLR21,1554,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.8,6.8,3.7,2,Small liver
MLR21,1555,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,6.7,6.7,2.8,2,Small liver
MLR21,1556,Miramichi,2021/08/12,N/A,Fundulus diaphanus,Banded Killifish,B.K.,2023/02/22,8,8,4.7,2,
MLR21,1557,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,9.1,9.5,8.2,2,
MLR21,1558,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,9.3,9.5,8.8,2,
MLR21,1559,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,9.5,9.9,10,2,
MLR21,1560,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10.8,11.4,14,2,
MLR21,1561,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10.5,11.4,15,2,
MLR21,1562,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,5.2,5.5,1.7,2,
MLR21,1563,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,5.7,5.9,1.7,2,
MLR21,1564,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.5,7.7,3.9,2,
MLR21,1565,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.6,7.9,4.2,2,
MLR21,1566,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8,8.4,6.1,2,
MLR21,1567,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.5,7.9,4.2,2,
MLR21,1568,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.9,8.2,5.1,2,
MLR21,1569,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.7,8,4.9,2,
MLR21,1570,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8.4,8.7,5.8,2,
MLR21,1571,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.8,8,4.9,2,
MLR21,1572,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8,8.4,5.6,2,
MLR21,1573,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.5,7.9,4.9,2,
MLR21,1574,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8,8.2,5.7,2,
MLR21,1575,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8,8.3,5.6,2,
MLR21,1576,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8.9,9.3,6.6,2,
MLR21,1577,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8.5,9.1,7.5,2,
MLR21,1578,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10,10.3,9.7,2,
MLR21,1579,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10.5,10.9,12.6,2,
MLR21,1580,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.8,8,4.9,2,
MLR21,1581,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8.1,8.3,5.2,2,
MLR21,1582,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8.7,9.2,7.6,2,
MLR21,1583,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8.8,9.2,7.5,2,
MLR21,1584,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8.1,8.4,5.3,2,
MLR21,1585,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.6,7.9,4.6,2,
MLR21,1586,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8.3,8.6,5.7,2,
MLR21,1587,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10.5,11.1,12.9,2,
MLR21,1588,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,6.5,6.9,4.7,2,
MLR21,1589,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8,8.4,5.4,2,
MLR21,1590,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,9.4,9.8,9.7,2,
MLR21,1591,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,8.8,9,9.2,2,
MLR21,1592,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,9.4,9.7,9,2,
MLR21,1593,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,7.9,8.3,4.8,2,
MLR21,1594,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10.2,10.5,11.1,2,
MLR21,1595,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10.3,10.6,10.8,2,
MLR21,1596,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10.3,10.6,11.5,2,
MLR21,1597,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10.3,10.7,11.4,2,
MLR21,1598,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,10.9,11.5,15.4,2,
MLR21,1599,Miramichi,2021/08/11,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/24,13.4,13.8,15.6,2,
MLR21,1600,Miramichi,2021/06/09,N/A,Morone americana,White Perch,W.P.,2023/02/28,13,13.9,30.5,2,
MLR21,1601,Miramichi,2021/06/09,N/A,Morone americana,White Perch,W.P.,2023/02/28,13.5,14.4,35.3,2,
MLR21,1602,Miramichi,2021/06/09,N/A,Semotilus corporalis,Fall Fish,F.F.,2023/02/28,14.8,16,44.1,2,
MLR21,1603,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,11.1,11.6,17.5,2,Small liver
MLR21,1604,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,N/A,N/A,33.6,2,"No caudal,small liver"
MLR21,1605,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,15.3,16.4,49.5,2,
MLR21,1606,Miramichi,2021/06/09,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/28,9.1,9.3,9.2,2,
MLR21,1607,Miramichi,2021/06/09,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/28,8.7,8.9,5.6,2,
MLR21,1608,Miramichi,2021/06/09,N/A,Perca flavescens,Yellow Perch,Y.P.,2023/02/28,7,7.3,4.1,2,
MLR21,1609,Miramichi,2021/06/09,N/A,Morone americana,White Perch,W.P.,2023/02/28,14.3,15.2,42.4,2,
MLR21,1610,Miramichi,2021/06/09,N/A,Morone americana,White Perch,W.P.,2023/02/28,18,19,77.9,2,
MLR21,1611,Miramichi,2021/06/09,N/A,Semotilus corporalis,Fall Fish,F.F.,2023/02/28,16.5,18.1,55.6,2,
MLR21,1612,Miramichi,2021/06/09,N/A,Morone americana,White Perch,W.P.,2023/02/28,12.3,13,22.6,2,
MLR21,1613,Miramichi,2021/06/09,N/A,Morone americana,White Perch,W.P.,2023/02/28,15.5,16.6,53.2,2,
MLR21,1614,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,15.4,16.4,54.2,2,
MLR21,1615,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,12,12.9,22,2,
MLR21,1616,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,13.3,14.3,35.2,2,
MLR21,1617,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,15,15.9,27,2,
MLR21,1618,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,14.5,15.6,43.2,2,
MLR21,1619,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,14,15.1,34.7,2,
MLR21,1620,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,14.9,16,47.5,2,No picture
MLR21,1621,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,15.9,16.9,57.1,2,No picture
MLR21,1622,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/02/28,17.5,18.6,71.4,2,No picture
MLR21,1623,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/03/01,9.2,10.2,9.7,2,"No pelvic, small liver"
MLR21,1624,Miramichi,2021/06/09,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2023/03/01,N/A,N/A,11.1,2,"No pelvic, small liver"
